1880,-0.50
1881,-0.43
1882,-0.46
1883,-0.67
1884,-0.71
1885,-0.58
1886,-0.51
1887,-0.49
1888,-0.44
1889,-0.32
1890,-0.54
1891,-0.55
1892,-0.53
1893,-0.57
1894,-0.43
1895,-0.43
1896,-0.36
1897,-0.29
1898,-0.41
1899,-0.24
1900,-0.17
1901,-0.13
1902,-0.29
1903,-0.38
1904,-0.45
1905,-0.34
1906,-0.17
1907,-0.61
1908,-0.44
1909,-0.42
1910,-0.35
1911,-0.48
1912,-0.48
1913,-0.31
1914,-0.05
1915,-0.08
1916,-0.45
1917,-0.62
1918,-0.48
1919,-0.31
1920,-0.35
1921,-0.14
1922,-0.25
1923,-0.28
1924,-0.24
1925,-0.14
1926,-0.01
1927,-0.21
1928,-0.13
1929,-0.47
1930,-0.11
1931,-0.01
1932,-0.03
1933,-0.35
1934,-0.06
1935,-0.17
1936,-0.12
1937,-0.02
1938,0.17
1939,0.09
1940,0.07
1941,0.10
1942,0.06
1943,0.07
1944,0.19
1945,-0.07
1946,-0.01
1947,0.04
1948,0.06
1949,-0.07
1950,-0.33
1951,-0.07
1952,-0.06
1953,0.19
1954,-0.13
1955,-0.12
1956,-0.41
1957,-0.04
1958,0.14
1959,0.08
1960,-0.02
1961,0.11
1962,0.15
1963,0.20
1964,-0.23
1965,-0.13
1966,-0.06
1967,0.01
1968,-0.12
1969,-0.08
1970,0.04
1971,-0.03
1972,-0.17
1973,0.33
1974,-0.19
1975,0.13
1976,-0.24
1977,0.25
1978,0.11
1979,0.17
1980,0.31
1981,0.53
1982,0.12
1983,0.51
1984,0.07
1985,0.10
1986,0.30
1987,0.45
1988,0.58
1989,0.36
1990,0.66
1991,0.53
1992,0.25
1993,0.35
1994,0.48
1995,0.77
1996,0.35
1997,0.64
1998,0.98
1999,0.78
2000,0.63
2001,0.85
2002,0.97
2003,0.96
2004,0.83
2005,1.10
2006,0.99
2007,1.13
2008,0.90
2009,0.91
2010,1.16
2011,0.93
2012,0.98
2013,1.05
2014,1.04
2015,1.42
2016,1.54
2017,1.41
2018,1.22
2019,1.43
2020,1.59